Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
2023,NC,North Carolina,Gates,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.7,,,21.8,31.8,"10,343","8,363",37073,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.7006756971434 36.4450179921853)
2023,NC,North Carolina,New Hanover,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,20.3,,,16.4,24.6,"238,852","197,058",37129,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.8842723951621 34.2328162979962)
2023,NC,North Carolina,Stanly,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.2,,,19.6,29.1,"65,699","51,434",37167,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.2512803776288 35.311751830322)
2023,NC,North Carolina,McDowell,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.6,,,19.9,29.9,"44,893","36,301",37111,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-82.0487203388744 35.6823599984024)
2023,NC,North Carolina,Madison,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,21.6,,,16.9,26.5,"22,071","18,349",37115,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-82.7057879444013 35.8579929239928)
2023,NC,North Carolina,Granville,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,25.4,,,21,30.3,"62,192","49,581",37077,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.6528560993089 36.3038620044075)
2023,NC,North Carolina,Vance,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,30,,,24.7,35.4,"42,301","32,113",37181,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.4079704512629 36.3651057008362)
2023,NC,North Carolina,Warren,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,31,,,25.9,36.5,"18,836","15,503",37185,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.1065171313416 36.3966767382286)
2023,NC,North Carolina,Wilkes,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,25.9,,,20.7,31.1,"66,013","52,999",37193,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.1632504740295 36.2059050717718)
2023,NC,North Carolina,Surry,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,27.1,,,22.4,32.8,"71,462","56,528",37171,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.6880595387123 36.4143133430213)
